2025-01-20T09:43:06.948Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:14.802Z [INFO]: Registering inventory routes
2025-01-20T09:43:14.810Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:14.814Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:17.723Z [INFO]: Registering inventory routes
2025-01-20T09:43:17.733Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:17.736Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:21.466Z [INFO]: Registering inventory routes
2025-01-20T09:43:21.475Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:21.479Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:27.241Z [INFO]: Registering inventory routes
2025-01-20T09:43:27.251Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:27.255Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:29.789Z [INFO]: Registering inventory routes
2025-01-20T09:43:29.797Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:29.817Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:32.331Z [INFO]: Registering inventory routes
2025-01-20T09:43:32.338Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:32.343Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:34.704Z [INFO]: Registering inventory routes
2025-01-20T09:43:34.712Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:34.717Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:38.294Z [INFO]: Registering inventory routes
2025-01-20T09:43:38.304Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:38.308Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:43.817Z [INFO]: Registering inventory routes
2025-01-20T09:43:43.825Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:43.829Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:50.711Z [INFO]: Registering inventory routes
2025-01-20T09:43:50.720Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:50.724Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:53.011Z [INFO]: Registering inventory routes
2025-01-20T09:43:53.019Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:53.023Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:54.839Z [INFO]: Registering inventory routes
2025-01-20T09:43:54.847Z [INFO]: Server draait op poort 27017
2025-01-20T09:43:54.852Z [INFO]: Succesvol verbonden met MongoDB
2025-01-20T09:43:57.210Z [INFO]: Registering inventory routes
2025-01-20T09:43:57.218Z [INFO]: Server draait op poort 27017
